Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,3.578709487415031,15.418,23.61,3.078713781514745
2,2.899700194063699,27.702,32.0,2.662101094130498
3,2.590252029316505,33.788,36.12,2.449180953062264
4,2.396467173648307,37.898,39.77,2.2840567417205517
5,2.244496033624615,41.574,42.19,2.1776900504045424
6,2.1249075906965738,43.848,43.4,2.120769331409673
7,2.0345338175973624,46.108,45.72,2.043159907031211
8,1.9572550346479392,47.854,45.58,2.037917639039884
9,1.8882076868315791,49.472,47.68,1.9380001733257513
10,1.8268627696634863,51.078,48.75,1.906263588340419
11,1.773488842312942,52.236,49.52,1.8804885156595024
12,1.7234952562605328,53.396,50.16,1.8497406745412548
13,1.684571301235872,54.25,50.84,1.8128798425577248
14,1.6398698772920672,55.442,50.91,1.815189032038306
15,1.600844376227435,56.41,51.7,1.7779089470577847
16,1.5660297792890798,57.352,52.1,1.751045189845334
17,1.5322809332167096,57.892,52.94,1.7380483218818714
18,1.502289274693145,58.788,53.19,1.7234819413750035
19,1.4699231892290627,59.642,53.53,1.7000826969268217
20,1.441627659227537,60.38,53.9,1.6985713213112703
21,1.4125811988892762,61.156,54.71,1.677423821892708
22,1.384760855942431,61.858,54.13,1.6857544107801596
23,1.3609207309115574,62.438,54.72,1.658853722985383
24,1.3410114727514175,62.924,54.89,1.6577730581259271
25,1.3117706412092194,64.024,55.65,1.6355332978971444
26,1.289628677889514,64.488,55.78,1.6296245330458234
27,1.2671154716892925,65.114,55.7,1.6214031163294604
28,1.2418395738162653,65.742,55.79,1.6206895811542583
29,1.2290533849650331,65.9,56.07,1.6099824328331431
30,1.209994956203129,66.402,56.36,1.6073805708794078
31,1.1922841139919007,66.95,56.76,1.5939292793820619
32,1.174872915229529,67.314,56.16,1.6094273222479851
33,1.1503357764552622,67.962,57.48,1.5699550946047351
34,1.1356010867659088,68.492,57.07,1.580073960267814
35,1.1155333889414891,69.032,57.31,1.5749500746939593
36,1.09726136793261,69.314,57.59,1.5632817388340166
37,1.087395736018715,69.924,57.66,1.562274792391783
38,1.0668045819720344,70.448,57.42,1.575526175984911
39,1.0514358945972169,70.676,57.8,1.5614402176468236
40,1.0335295448827622,71.198,58.16,1.5463053136114862
41,1.0213198413324478,71.63,58.01,1.5559530432816524
42,1.0026505886746184,72.274,57.82,1.5550270088159355
43,0.9924063563651746,72.358,58.19,1.545268145336467
44,0.9763007521476892,72.712,58.56,1.5400296480033049
45,0.9612962128713612,73.128,58.13,1.5357826629262061
46,0.9534326909905504,73.436,58.59,1.5272705467643253
47,0.9391585191344971,73.824,58.83,1.5292613449370025
48,0.9231771527958648,74.234,58.89,1.529547398637055
49,0.9114317406168984,74.296,59.05,1.5229233529916995
50,0.9007846046134335,74.98,58.93,1.5279138938636536
51,0.888248182966581,75.256,58.95,1.5309292825923604
52,0.8748642500785305,75.638,58.93,1.5255665300758021
53,0.8638220315851519,75.858,59.44,1.5283587369949194
54,0.8487513572206278,76.428,59.22,1.5351766378256926
55,0.8453148606869266,76.646,59.18,1.5183093616157581
56,0.8309031901762004,76.836,59.43,1.5166625801924687
57,0.8170912700235996,77.164,59.68,1.5156693754682116
58,0.807132823083102,77.766,59.63,1.5152601208656458
59,0.7956054532695609,77.988,59.07,1.5227792171915626
60,0.7853561777364263,78.218,59.91,1.5107776059466562
61,0.7753191304481243,78.526,59.46,1.519473327572938
62,0.7604318484092307,78.942,59.45,1.5223596137800035
63,0.7526529774336559,79.06,59.84,1.5074091117093518
64,0.7408407601858954,79.584,59.93,1.5134487945562716
65,0.734097664999535,79.746,59.43,1.5154406925675217
66,0.7262898746049008,79.812,59.93,1.5201331521295438
67,0.7169052774415297,80.398,60.04,1.5173616352354644
68,0.7091169787184967,80.39,59.98,1.52533419230941
69,0.6988052106498147,80.988,60.05,1.5223924958022537
70,0.6845448713016022,81.18,60.2,1.5188876371474782
71,0.6801579989054624,81.238,60.09,1.5258106748769238
72,0.6696017720662725,81.742,60.0,1.5218349888825873
73,0.6650417715387271,81.69,60.21,1.5194376016118725
74,0.6541294030216344,81.992,59.9,1.5197681291088176
75,0.6469261092145729,82.412,60.44,1.5149006691707927
76,0.634672839127843,82.714,60.39,1.518578162238856
77,0.6252334726131176,82.848,60.19,1.5192900307618888
78,0.6214318847488565,83.042,60.28,1.5185915091235167
79,0.6137392301769817,83.424,60.5,1.5231390398019438
80,0.602668030297055,83.772,60.56,1.5212929506970059
81,0.597631878712598,83.962,60.46,1.5187511668083773
82,0.5889817934359431,83.992,60.74,1.5191186943631263
83,0.5817843139019159,84.436,60.33,1.531353930379175
84,0.5743611439719529,84.628,60.49,1.5268084099338313
85,0.5667134117516105,84.686,60.68,1.5200577700973317
86,0.5593459228496722,84.948,60.18,1.5410523061539716
87,0.553493236184425,84.996,60.4,1.5326651475232118
88,0.5424291626800357,85.322,60.58,1.5377775567352392
89,0.5364348126951691,85.686,60.91,1.536008742204897
90,0.5290975074481477,85.988,60.67,1.532533902271538
91,0.5250632684401539,85.802,60.89,1.5308369105788553
92,0.5148597913020102,86.64,60.69,1.5382929827756942
93,0.510964394835255,86.512,60.89,1.5249777398291666
94,0.5044304544053724,86.78,60.37,1.5380997976679711
95,0.49974681116888287,86.768,60.64,1.5419747229594334
96,0.4890607124399346,87.25,60.78,1.5421673253083685
97,0.4835107069834114,87.404,60.86,1.548345511885965
98,0.4776327484251593,87.596,60.63,1.555974688119949
99,0.4748399014515645,87.528,60.99,1.5501274998020973
100,0.46866744548997,87.734,61.04,1.5445481777950456
