Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,3.965779961832344,8.722,12.98,3.6930029285941153
2,3.5465479278198595,15.252,18.12,3.3912875470082473
3,3.3320368610684525,19.198,21.66,3.192275431505434
4,3.171792921812638,22.348,23.93,3.0626886270608114
5,3.0445924186340685,24.52,25.96,2.952199513745156
6,2.9492954756597727,26.72,27.94,2.8571025459629715
7,2.8702592462529917,28.124,28.8,2.791740388627265
8,2.7975343834713597,29.392,30.59,2.7248750659310894
9,2.73948462783833,30.344,31.41,2.6675344136110537
10,2.6825643591868604,31.592,32.48,2.627388601849793
11,2.630379402576505,32.706,33.74,2.5818399304796937
12,2.584993036811614,33.656,34.1,2.543325267779599
13,2.5490987764295103,34.204,34.43,2.531726077863365
14,2.504239018310976,35.632,35.39,2.487616999134137
15,2.4726652199654935,36.154,35.88,2.4610378863705193
16,2.4345850523780372,36.998,36.53,2.43077008967187
17,2.398890548807276,37.654,37.62,2.39255632184873
18,2.3743573142134626,38.152,37.95,2.38169742693567
19,2.3487623692168604,38.886,38.2,2.366447975681086
20,2.315673218968579,39.458,38.66,2.3451535048758148
21,2.298778009536626,39.96,39.36,2.3166162960088936
22,2.26842113041207,40.824,39.62,2.2961090453870736
23,2.2478986662976883,40.946,39.98,2.2859453714577254
24,2.225270893415222,41.494,40.57,2.2544369993695788
25,2.2064384408009325,42.056,40.71,2.2515585581967783
26,2.188174111001632,42.426,40.99,2.241985157037237
27,2.1595943091470566,42.68,41.17,2.232620137512304
28,2.142819536768872,43.35,41.68,2.20856410986299
29,2.1303983542620375,43.69,42.32,2.198245954361691
30,2.1132121264477215,43.946,42.45,2.1876729612897154
31,2.08920152321496,44.648,42.9,2.1651356296174846
32,2.0780372996159526,44.93,42.78,2.1595389197586448
33,2.060806827776877,45.27,42.92,2.152891666266569
34,2.038317221509831,45.812,43.49,2.144191476949461
35,2.028548643564629,45.908,44.07,2.1263926302551464
36,2.008981580014729,46.45,44.13,2.118748880495691
37,1.9970374145471226,46.756,43.9,2.113137121413164
38,1.9829687549330084,46.986,44.15,2.1050353832305615
39,1.9699490120648728,47.224,44.67,2.0939442898817124
40,1.961981852036303,47.572,44.94,2.0881962426908456
41,1.9427610211969946,48.098,45.02,2.067936764401235
42,1.9323380722109313,48.304,45.39,2.0671512374452723
43,1.9187794128037474,48.502,44.97,2.0667140954619
44,1.9068075538901113,48.748,45.81,2.0473455486783556
45,1.8938946946502646,49.036,45.85,2.0513774262871713
46,1.8847849472709324,49.27,45.6,2.042154439695322
47,1.876001247207222,49.638,45.99,2.032717265141238
48,1.8647494857268565,49.914,46.18,2.019704957676541
49,1.8549051618637027,49.882,46.01,2.0189200381564487
50,1.8434402210938046,50.24,46.62,2.0153123117556238
51,1.8343907198332765,50.386,45.93,2.031852280258373
52,1.8200459311075528,50.814,46.53,1.9975021272707896
53,1.8088738608848103,51.12,46.41,2.004050567651251
54,1.8010435108943363,51.392,46.81,1.991472732489276
55,1.7869074416282538,51.61,47.0,1.9849945663646529
56,1.7827065291307163,51.762,47.1,1.9762520926773168
57,1.7725433248388187,52.036,47.06,1.9779680754728377
58,1.7689493185723835,51.98,47.3,1.9749471913477419
59,1.7486093704352903,52.582,47.36,1.9644144697553794
60,1.7450854162425946,52.658,47.28,1.9642448007680808
61,1.7405662894858729,52.612,47.81,1.9618692846055243
62,1.7290171915307984,52.91,47.4,1.9569618960095059
63,1.717404905639951,53.252,47.78,1.9488991392645867
64,1.7120912969874604,53.33,47.8,1.944584485831534
65,1.6987667967901205,53.794,47.96,1.9491069157412098
66,1.6891287822857537,53.982,48.29,1.9443494620596526
67,1.6826728036641465,54.17,48.01,1.9356621921442116
68,1.6744499273617248,54.134,48.24,1.9359902697763625
69,1.670169432297387,54.522,48.23,1.9303256144189531
70,1.6635798656422158,54.68,48.21,1.9229860624689965
71,1.6533690509588823,54.93,48.77,1.9178556348108182
72,1.6444407504842715,54.91,48.56,1.911683506267086
73,1.6371906302164279,55.384,48.9,1.9082128667527702
74,1.6327205989366906,55.318,48.77,1.9057809714299099
75,1.6257321540352023,55.634,48.76,1.9169921396644252
76,1.6180212266000031,55.77,49.0,1.9063896586181253
77,1.6083586130605634,55.932,48.74,1.9102556690288957
78,1.6007276492960312,56.082,49.37,1.8978923673083068
79,1.5958894902787855,56.28,49.08,1.9050863480112354
80,1.5878955520632323,56.674,49.11,1.9006668875931174
81,1.580204341112805,56.562,49.14,1.8981213903730842
82,1.5752955722382,56.6,48.96,1.8954227464214253
83,1.5717983788541516,56.83,49.52,1.8860373937400283
84,1.560816916815765,56.942,49.91,1.8855216996684956
85,1.5567151648004343,57.29,49.53,1.8898666770594894
86,1.551110142941975,57.144,49.97,1.872429329118911
87,1.5425476122390278,57.57,49.6,1.8833295873775604
88,1.5366840207820658,57.508,49.87,1.868102151876802
89,1.5308584722564043,57.824,50.05,1.876961687567887
90,1.5264194084860174,57.928,49.95,1.8694817792078493
91,1.5186256799856415,58.08,50.2,1.868069614574408
92,1.5126857930589515,58.668,50.08,1.8611417910095993
93,1.5022049194863996,58.558,50.52,1.8571407924032515
94,1.500967073775923,58.354,50.23,1.8531570366233776
95,1.4969234821741537,58.736,50.17,1.8542873305120287
96,1.490141938104654,58.77,50.56,1.851823869024872
97,1.4836373764383213,59.052,50.36,1.8507029220556757
98,1.4758201395459187,59.156,50.86,1.8449388719668054
99,1.4689575505378607,59.494,50.78,1.8456430807235136
100,1.4608524807578767,59.59,50.96,1.8518799102989731
