Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0,3.545585950012402,16.214,24.65,3.053774217131791
2,0,2.9034862402454973,27.74,32.3,2.665209844613531
3,0,2.578462938670917,34.122,37.58,2.4243220576814783
4,0,2.3677477356418013,39.044,40.92,2.2627759154435174
5,0,2.218347557822762,42.066,42.35,2.162370627093467
6,0,2.107157220316055,44.454,45.2,2.0739991930639667
7,0,2.0031155283798645,47.14,46.2,2.0107016859540514
8,0,1.9307877890899052,48.494,47.64,1.956667994997304
9,0,1.8607381730128432,50.36,49.01,1.9052795042657549
10,0,1.7988464826208246,51.582,49.61,1.8733523279238657
11,0,1.7448575923509915,53.07,50.26,1.848600913764565
12,0,1.697610248385183,54.162,51.32,1.8026111217061425
13,0,1.6522293545096123,55.17,52.04,1.7783839421667111
14,0,1.6101288300036165,56.038,52.39,1.762014674532945
15,0,1.5706192450145322,57.086,52.82,1.7517041210915631
16,0,1.5365516897052756,57.938,53.44,1.7232450763131404
17,0,1.5025793844476685,58.948,54.47,1.6948526998993698
18,0,1.4733822220731574,59.614,54.54,1.6910474816705012
19,0,1.4404460427248875,60.604,54.48,1.667700635399788
20,0,1.4117022200923441,61.332,54.99,1.6565828361329
21,0,1.381668519790825,61.908,55.68,1.6420214943065765
22,0,1.357702128570098,62.64,55.45,1.633116842075518
23,0,1.3322984652446055,63.312,55.63,1.6254904490367623
24,0,1.3074439977440993,64.068,55.88,1.6143834066998428
25,0,1.2834695582194706,64.602,56.56,1.5973392755362639
26,0,1.266007943683878,64.806,56.44,1.5963491345666776
27,0,1.2418738672952823,65.806,56.58,1.5939877868457963
28,0,1.22336830118733,66.214,56.91,1.5850975278076853
29,0,1.1997799554749218,66.624,57.33,1.567796717783448
30,0,1.1798080391133838,67.132,57.22,1.5619681709131616
31,0,1.1625019125164013,67.774,57.96,1.557427861128643
32,0,1.1458416472920372,68.004,57.76,1.5550119527585946
33,0,1.1273493747729475,68.872,57.65,1.5584202625189618
34,0,1.111913414486229,69.106,58.22,1.5401193419839168
35,0,1.0879724675127307,69.796,58.2,1.5403474227638
36,0,1.073763360376553,70.332,58.48,1.5351365011209135
37,0,1.0600470110888371,70.47,58.6,1.5253514203296346
38,0,1.0443767534802333,70.98,58.89,1.5139929367478486
39,0,1.0266563370252204,71.522,58.78,1.515759781287734
40,0,1.011386574915303,71.856,58.72,1.5315147524426698
41,0,0.9974295778957474,72.14,58.97,1.516312252184388
42,0,0.9807091302731458,72.736,59.33,1.502769150551717
43,0,0.9694389079690284,72.96,58.4,1.5149636925405758
44,0,0.9519987836518251,73.412,59.26,1.5083934516663764
45,0,0.9435687225950343,73.822,59.36,1.5098368992471392
46,0,0.9291681690746562,74.124,59.16,1.512236031757039
47,0,0.9118123296886453,74.618,59.66,1.4975975592424915
48,0,0.8978169061948577,75.154,59.24,1.5100653676470375
49,0,0.88656809628772,75.124,59.4,1.5019541492887363
50,0,0.8805963933239203,75.57,59.47,1.499221855667746
51,0,0.8639139850121325,76.074,59.21,1.5030494002020283
52,0,0.849753997438704,76.512,59.83,1.4919006497996627
53,0,0.8375612394431667,76.938,59.7,1.4862536343799275
54,0,0.8315744793704708,76.858,59.84,1.4924246437230688
55,0,0.8210818946666425,77.194,59.68,1.4944111822517054
56,0,0.8107412234520364,77.436,60.18,1.484552189043373
57,0,0.7996599177265411,77.676,60.13,1.4918821776748463
58,0,0.7851341505489691,78.168,60.35,1.4861952909238778
59,0,0.7698531036486711,78.54,59.94,1.493807852268219
60,0,0.7604691906810721,79.182,60.69,1.4826406726411954
61,0,0.7474993063360834,79.292,60.29,1.4850766024771769
62,0,0.7412903630138968,79.488,60.23,1.4730845196231914
63,0,0.7326068131591353,79.608,60.63,1.479021110352437
64,0,0.722754731469447,80.152,60.31,1.4927270883207868
65,0,0.710832169141306,80.484,60.5,1.485046482769547
66,0,0.7088198589394464,80.418,60.33,1.4772888076533177
67,0,0.6910661360644319,80.916,60.86,1.4795117370641915
68,0,0.6844022982108319,81.246,60.83,1.475392332881879
69,0,0.677065258440764,81.408,60.73,1.4849222982005708
70,0,0.6643117278661874,81.72,60.39,1.4789749543378308
71,0,0.6590166091537841,81.884,60.52,1.4934419393539429
72,0,0.6485610688891252,82.206,60.46,1.4928725369416984
73,0,0.6374791774832075,82.57,60.5,1.4883967235589484
74,0,0.6346998176992397,82.808,60.83,1.4875844603131532
75,0,0.6223860488599523,82.944,61.0,1.4925473245086185
76,0,0.6131442256290894,83.344,60.7,1.4897534376496722
77,0,0.6089382221174362,83.474,60.95,1.4928798607200573
78,0,0.6010522438056024,83.696,60.72,1.5025155589838697
79,0,0.5856293748178141,84.266,61.18,1.4988946208528653
80,0,0.5847406763478619,84.226,60.87,1.490079055925843
81,0,0.5772487253636656,84.38,60.76,1.4965424697110608
82,0,0.5641560818228271,84.768,61.22,1.4928306303206522
83,0,0.5624514512165123,84.742,61.11,1.4942509478824153
84,0,0.5504889122360502,85.288,61.32,1.5000090154872578
85,0,0.5413300013908035,85.522,60.98,1.5100522367817582
86,0,0.5402229342924054,85.53,60.89,1.499352657111587
87,0,0.5304099123763002,85.982,60.92,1.5003529134070037
88,0,0.525438259705863,85.888,61.16,1.4962116365979432
89,0,0.5150196259969946,86.352,61.4,1.4943760606893308
90,0,0.5118837665261515,86.416,61.08,1.5007098093154325
91,0,0.5093970543054669,86.498,61.13,1.508197071066328
92,0,0.4953526023708646,87.126,61.22,1.498169303320016
93,0,0.48565428290525664,87.266,61.32,1.5006706710833653
94,0,0.4827997303374893,87.164,61.2,1.5101350948309442
95,0,0.47369288334913573,87.652,61.37,1.5045866711883789
96,0,0.470761581226383,87.728,61.1,1.5102834302908297
97,0,0.46267657168685933,87.918,61.3,1.5121046634996014
98,0,0.4593801489266593,87.994,61.12,1.508156112424887
99,0,0.45361942775033015,88.282,61.34,1.5218570771490691
100,0,0.4438034873979781,88.67,61.07,1.5167995786211292
1,0.25,3.5647541839448387,15.658,24.49,3.0739994610950445
2,0.25,2.920765277979624,27.466,31.81,2.6864157968265996
3,0.25,2.6053466937121224,33.726,37.74,2.4177728595247694
4,0.25,2.3938322106895544,38.428,40.05,2.2942927141857754
5,0.25,2.2380058599250092,41.854,42.86,2.187007817493123
6,0.25,2.119706457228307,44.412,44.93,2.09111377691767
7,0.25,2.024858645618419,46.564,45.98,2.0369937473041997
8,0.25,1.9428000265680005,48.434,47.07,1.9773425683853731
9,0.25,1.8694672913807433,50.114,48.18,1.932145633515279
10,0.25,1.818323886607919,51.274,49.22,1.9134471097569556
11,0.25,1.7562405018855238,52.67,49.41,1.8858775583801755
12,0.25,1.7171126800729795,53.72,49.9,1.8613373177826025
13,0.25,1.6695423396042242,55.046,51.38,1.8139629409571363
14,0.25,1.6266399039636792,55.896,52.06,1.7924040009261697
15,0.25,1.5912893326081279,56.736,51.66,1.7833873162603682
16,0.25,1.5537418703288983,57.546,52.45,1.759320087493605
17,0.25,1.513781541753608,58.806,53.07,1.7403566715823617
18,0.25,1.4799412684062558,59.588,53.12,1.7293606472622818
19,0.25,1.4583383551643938,60.314,54.03,1.7099500674351005
20,0.25,1.4284262146486346,60.744,53.5,1.715696649946225
21,0.25,1.4002723014720566,61.554,54.41,1.697195966532276
22,0.25,1.3722310967914892,62.266,54.37,1.6764568356192036
23,0.25,1.3457931635324911,62.868,54.83,1.6584174951929955
24,0.25,1.3230706896166058,63.724,55.03,1.6515244313865711
25,0.25,1.3001790493345626,64.13,55.13,1.6423600866536425
26,0.25,1.2797334168268286,64.76,55.92,1.6359805719108338
27,0.25,1.2540260324697665,65.544,56.08,1.619909058710572
28,0.25,1.2338191689280293,66.006,56.14,1.6223783250067645
29,0.25,1.2105063399695375,66.504,56.15,1.622918921671096
30,0.25,1.1959326233705292,67.012,56.42,1.6160567505344463
31,0.25,1.174331538741241,67.518,56.96,1.60016285993491
32,0.25,1.1528235862931937,67.874,57.0,1.5940496993672317
33,0.25,1.1379815009243959,68.48,56.64,1.5892830517641299
34,0.25,1.1238015903841199,68.64,57.2,1.592239797115326
35,0.25,1.1047068848024548,69.464,57.17,1.5910056438415674
36,0.25,1.0840181479673556,69.874,57.2,1.5755960846402843
37,0.25,1.0663138845235185,70.544,57.42,1.5647264635486968
38,0.25,1.0566733231782304,70.678,57.74,1.580517775693517
39,0.25,1.0381268556313137,71.224,57.84,1.5668496421188305
40,0.25,1.022560918498832,71.548,57.85,1.5698686078855186
41,0.25,1.0094408323545285,71.96,58.1,1.5538872525950147
42,0.25,0.9920905401639621,72.444,57.8,1.5644335575923798
43,0.25,0.9787896999617671,72.848,57.94,1.5519318709707564
44,0.25,0.961093170944687,73.282,58.25,1.5564983118871214
45,0.25,0.9460225030589287,73.712,58.03,1.5447951794429948
46,0.25,0.9414168728129638,73.806,58.44,1.5532768847076757
47,0.25,0.9235530087100271,74.432,58.32,1.5514887058810822
48,0.25,0.9112843322708174,74.508,58.42,1.5496877014257346
49,0.25,0.9005659192876743,74.95,58.51,1.5454351609679544
50,0.25,0.8868439459739743,75.242,58.61,1.5404415700086362
51,0.25,0.8742477695655335,75.636,58.82,1.544735085053049
52,0.25,0.8624889792688667,76.194,58.72,1.5410783203544132
53,0.25,0.8462218486744425,76.512,58.49,1.5501130997754966
54,0.25,0.838770759456298,76.738,58.89,1.5437700315645546
55,0.25,0.8246463757494221,77.192,59.09,1.5362664609198358
56,0.25,0.81641612832656,77.4,59.02,1.5371633255557648
57,0.25,0.8020889721334438,77.972,59.04,1.5320935739073784
58,0.25,0.7945400411286927,78.162,59.14,1.5510063205554987
59,0.25,0.7793867433315043,78.488,59.11,1.5444423347521739
60,0.25,0.7702455143337055,78.822,59.17,1.5492271310204913
61,0.25,0.7636774370584951,78.852,59.14,1.544626633832409
62,0.25,0.7509423847622274,79.186,59.34,1.5339808350156068
63,0.25,0.7410577298201564,79.508,59.47,1.5408286467479293
64,0.25,0.7307543863954447,79.858,59.29,1.5454468897953155
65,0.25,0.7181079610229453,80.32,59.15,1.5436300513850656
66,0.25,0.7089160405994986,80.716,59.36,1.5353646335328461
67,0.25,0.701227773485891,80.784,59.19,1.5444477887669945
68,0.25,0.6918837870173442,81.024,59.66,1.5343984365463257
69,0.25,0.685299262823656,81.32,59.76,1.529182601506543
70,0.25,0.6738689437013148,81.638,59.66,1.5453386413063972
71,0.25,0.6617721399230421,81.908,59.42,1.5530525947072704
72,0.25,0.6578704572623343,81.912,59.61,1.5393938828425802
73,0.25,0.6450935336939819,82.43,59.73,1.5419432794212535
74,0.25,0.6361135064107378,82.916,59.92,1.53958750530413
75,0.25,0.6324568758992588,82.838,59.95,1.5350040056902892
76,0.25,0.6200919786225194,83.248,59.68,1.5470869799328457
77,0.25,0.6086946980422719,83.632,59.83,1.5390398475774534
78,0.25,0.604681600695071,83.586,59.98,1.5442687546371654
79,0.25,0.599336255656179,83.776,59.83,1.5433415971743834
80,0.25,0.5888547447636304,84.166,60.16,1.5419412213525954
81,0.25,0.5799014260396933,84.33,59.75,1.555332076397671
82,0.25,0.5755953449193779,84.548,60.09,1.5445291316433318
83,0.25,0.5601917486590193,85.072,60.15,1.5508059703620376
84,0.25,0.5598900531373365,84.862,59.53,1.5653339871175729
85,0.25,0.5505349702389953,85.138,59.83,1.5614084468525686
86,0.25,0.5353913319004161,86.038,59.87,1.5492640145265373
87,0.25,0.5395027782453601,85.594,59.99,1.5597694702209182
88,0.25,0.5269556918831737,85.948,60.21,1.5537673808207177
89,0.25,0.5224009825445503,86.168,59.81,1.5618642845730872
90,0.25,0.5147693959800789,86.458,60.21,1.553602966533345
91,0.25,0.508285176075633,86.692,60.06,1.5686448208845345
92,0.25,0.501910011081592,87.012,60.43,1.5566765650822099
93,0.25,0.4960059631815957,87.056,60.39,1.5571918085122565
