Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy
1,0,0.43406281388327,87.08666666666667,91.72
2,0,0.28634629763170344,91.53833333333333,92.94
3,0,0.25537717452785097,92.59666666666666,93.59
4,0,0.23602788582412418,93.14666666666666,93.88
5,0,0.22172211960498203,93.535,94.36
6,0,0.2102973203875744,93.835,94.58
7,0,0.20102199012918004,94.13666666666667,94.74
8,0,0.1930680304074656,94.32833333333333,94.91
9,0,0.1865104994675053,94.51833333333333,95.05
10,0,0.1805908386545903,94.665,95.13
11,0,0.17522886845825322,94.79166666666667,95.35
12,0,0.17077761878575215,94.96,95.45
13,0,0.1663745531061692,95.085,95.54
14,0,0.16258669451180932,95.15833333333333,95.62
15,0,0.15909132682311256,95.29166666666667,95.79
16,0,0.15567390166763176,95.36833333333334,95.82
17,0,0.15276297231290195,95.46333333333334,95.95
18,0,0.14991890711944178,95.51166666666667,95.95
19,0,0.14726817483570911,95.615,96.04
20,0,0.1449236465669644,95.715,96.08
21,0,0.14262434627130025,95.76,96.12
22,0,0.14051027058252394,95.84166666666667,96.22
23,0,0.1382953246781376,95.88,96.26
24,0,0.13635482381520939,95.97333333333333,96.27
25,0,0.13468813824493175,96.01,96.36
26,0,0.13296450978752647,96.08833333333334,96.41
27,0,0.13117327237291249,96.105,96.42
28,0,0.12970996110924463,96.17833333333333,96.51
29,0,0.12814673842159288,96.20833333333333,96.47
30,0,0.12682570615159805,96.25,96.58
31,0,0.12546571737119575,96.28666666666666,96.58
32,0,0.1240884284101633,96.32666666666667,96.6
33,0,0.12297423788979808,96.345,96.62
34,0,0.12177835249288409,96.38333333333334,96.68
35,0,0.1206143974894479,96.41833333333334,96.73
36,0,0.11962281151124632,96.48666666666666,96.75
37,0,0.11847356518011676,96.52166666666666,96.74
38,0,0.11751299632240587,96.525,96.77
39,0,0.11641813791903065,96.53666666666666,96.77
40,0,0.11558732450373772,96.59,96.85
41,0,0.11465289260246861,96.61,96.89
42,0,0.1137909201214086,96.625,96.89
43,0,0.11297839986029337,96.65666666666667,96.94
44,0,0.11217391332770303,96.68,96.89
45,0,0.11131571893439268,96.72333333333333,96.92
46,0,0.11061318411426281,96.72333333333333,96.99
47,0,0.10987357740729317,96.77333333333333,96.97
48,0,0.10907292156529896,96.77,97.0
49,0,0.10848534622215736,96.78166666666667,97.03
50,0,0.10777616190678402,96.79833333333333,97.0
51,0,0.10723682355556662,96.84,97.09
52,0,0.10647875207986658,96.83333333333333,97.09
53,0,0.10582941069380879,96.84833333333333,97.2
54,0,0.1052236206202047,96.87833333333333,97.14
55,0,0.10462150480379777,96.90333333333334,97.18
56,0,0.10421296822896073,96.90333333333334,97.22
57,0,0.1035542756126427,96.915,97.19
58,0,0.10298892579623249,96.945,97.25
59,0,0.10251737699341545,96.965,97.23
60,0,0.10189916012383728,96.96166666666667,97.21
61,0,0.10139942325866108,96.995,97.25
62,0,0.10094652351126997,96.995,97.31
63,0,0.10041235258449306,96.96833333333333,97.3
64,0,0.09997865179283565,97.02666666666667,97.32
65,0,0.09948990292358659,97.045,97.29
66,0,0.0990655812085358,97.045,97.33
67,0,0.09879788103352573,97.09666666666666,97.34
68,0,0.0982264165810224,97.08,97.36
69,0,0.09774513408017438,97.07666666666667,97.38
70,0,0.09727020298581579,97.11833333333334,97.4
71,0,0.09685972463716862,97.13333333333334,97.38
72,0,0.09662756783716968,97.13833333333334,97.41
73,0,0.09619967711132282,97.16,97.43
74,0,0.09569640228175309,97.15333333333334,97.41
75,0,0.09527880963045302,97.165,97.44
76,0,0.09499151822872587,97.18333333333334,97.41
77,0,0.09455611021406869,97.17666666666666,97.47
78,0,0.09423125386118952,97.215,97.52
79,0,0.0938157353764658,97.23333333333333,97.45
80,0,0.09345856121183237,97.21666666666667,97.42
81,0,0.09313374525035369,97.24333333333334,97.51
82,0,0.09286224717663517,97.24666666666667,97.51
83,0,0.09252640356156808,97.22666666666667,97.47
84,0,0.09213238864092589,97.26833333333333,97.52
85,0,0.09182267416633967,97.28333333333333,97.5
86,0,0.09152286707449442,97.28666666666666,97.59
87,0,0.09122571737360535,97.32333333333334,97.6
88,0,0.09084877574385436,97.30833333333334,97.55
89,0,0.090663246411298,97.31333333333333,97.62
90,0,0.09027481583584505,97.32166666666667,97.61
91,0,0.09022194712158682,97.35333333333334,97.54
92,0,0.08974101480696278,97.345,97.58
93,0,0.08951391756230755,97.36166666666666,97.55
94,0,0.08917283905403954,97.35666666666667,97.56
95,0,0.08882933701855192,97.37,97.62
96,0,0.08867482091439192,97.37666666666667,97.6
97,0,0.08835112089728082,97.37833333333333,97.6
98,0,0.08811488091252617,97.39,97.63
99,0,0.08783016468225512,97.39833333333333,97.62
100,0,0.08755861286685537,97.43333333333334,97.62
1,0.25,1.2445632928787773,67.11833333333334,83.84
2,0.25,0.5170049305314194,85.12833333333333,87.29
3,0.25,0.42831624555053993,87.35,88.34
4,0.25,0.3897207242879532,88.465,89.32
5,0.25,0.36459599881728827,89.16166666666666,89.82
6,0.25,0.34571725887848115,89.75666666666666,90.45
7,0.25,0.33035849238128295,90.20333333333333,90.74
8,0.25,0.3173869594391475,90.54166666666667,91.31
9,0.25,0.30562691198292574,90.87,91.64
10,0.25,0.2953961397062487,91.15,91.86
11,0.25,0.2859866715618161,91.46333333333334,92.33
12,0.25,0.2773172857760112,91.70833333333333,92.53
13,0.25,0.26962336416501226,91.86333333333333,92.63
14,0.25,0.26201320499149977,92.155,92.81
15,0.25,0.25513691467834687,92.35833333333333,93.09
16,0.25,0.248824363070002,92.555,93.27
17,0.25,0.24269334233201134,92.77833333333334,93.29
18,0.25,0.2370877390040327,92.84333333333333,93.4
19,0.25,0.23197813010784482,93.07666666666667,93.55
20,0.25,0.2268581638640877,93.195,93.69
21,0.25,0.22212146237683195,93.35,93.68
22,0.25,0.21739485524674215,93.47166666666666,93.88
23,0.25,0.2134314357980228,93.61,93.93
24,0.25,0.209413328360933,93.73166666666667,94.03
25,0.25,0.20572898336755696,93.81166666666667,94.06
26,0.25,0.20207039188585682,93.93333333333334,94.26
27,0.25,0.19858822748382718,94.075,94.3
28,0.25,0.19529642840263559,94.125,94.39
29,0.25,0.19226043431688028,94.23666666666666,94.59
