Epoch,r,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,0,4.022117453462937,8.026,12.14,3.7283968135809444
2,0,3.674882062560762,13.102,15.0,3.5454142048100756
3,0,3.524173424676861,15.516,18.01,3.403981913426879
4,0,3.39111759900437,18.342,20.18,3.28757849924124
5,0,3.281635310948657,20.32,22.04,3.187171922367849
6,0,3.1795339486787997,22.166,24.14,3.0885523656371294
7,0,3.103285884613271,23.718,25.45,3.031130070898943
8,0,3.0285578700892457,25.172,26.55,2.9570946116356334
9,0,2.9665171694572625,26.43,27.13,2.91607267841412
10,0,2.9120694246438457,27.246,28.22,2.8748415063141257
11,0,2.8646880165695228,28.112,29.58,2.8062327059970538
12,0,2.8191736558514178,29.236,30.39,2.7841380234736546
13,0,2.772027885822384,30.194,30.88,2.740130640139246
14,0,2.733647486742805,31.16,31.55,2.700561256165717
15,0,2.6998758242868095,31.466,32.05,2.673454383376298
16,0,2.665116913788154,32.406,33.19,2.626465092798707
17,0,2.6362706992937173,32.718,33.32,2.612877674163527
18,0,2.606870116480171,33.564,34.08,2.5796057950159548
19,0,2.57661407408507,34.188,34.37,2.566843366926643
20,0,2.5476091456840106,34.906,34.71,2.558284727631101
21,0,2.5241643554719206,35.154,34.97,2.5407744881453787
22,0,2.5039180227557716,35.618,35.69,2.502207809193119
23,0,2.4791563674617,36.018,36.16,2.4778494713412726
24,0,2.4577965205892576,36.678,36.58,2.4685160597418525
25,0,2.4328308296020684,37.07,36.29,2.4511874671194964
26,0,2.413404618077876,37.58,36.9,2.4319404728093725
27,0,2.3957034270171924,37.786,37.25,2.416969983441055
28,0,2.3777582871029748,38.218,37.54,2.399913979943391
29,0,2.3589738165326133,38.568,37.91,2.3763915520564765
30,0,2.3421993685500397,39.03,37.69,2.392581610163306
31,0,2.32440952022972,39.446,37.78,2.3865257023246427
32,0,2.302696664772375,39.852,38.62,2.3467538182143195
33,0,2.2906273534840635,40.092,38.71,2.340552127285368
34,0,2.2660376804564004,40.756,39.08,2.3232472489593894
35,0,2.262059789484419,40.69,39.65,2.309415288791535
36,0,2.243963839757778,41.166,39.45,2.323284302547479
37,0,2.2316828627720513,41.354,39.53,2.2942791569764447
38,0,2.2116515581565137,42.172,39.81,2.28608397997109
39,0,2.2020538001109267,42.052,39.98,2.277340925423203
40,0,2.191819425434103,42.55,40.14,2.2739881436536264
41,0,2.1718329800974074,42.978,40.62,2.2542912709485194
42,0,2.1639014029746777,42.936,40.9,2.2459634140038944
43,0,2.1556267963955773,43.052,40.81,2.2356039627342468
44,0,2.134322507149728,43.464,41.4,2.229772335404803
