Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,3.9911518633518073,9.164,14.42,3.6207596997546543
2,3.5120631556986543,16.262,19.03,3.3460759524327175
3,3.2845956574925377,20.402,22.44,3.182790634738412
4,3.1197302222556775,23.428,24.22,3.068902100727057
5,3.0019505981289214,25.808,27.01,2.9256734726535285
6,2.903525089668801,27.876,28.97,2.836492497450227
7,2.8163549598220667,29.456,30.31,2.7722842101078884
8,2.7429035648970346,30.984,31.43,2.702015697576438
9,2.673728910553486,32.402,32.3,2.654792453073392
10,2.6175538295370235,33.738,33.25,2.593621949481357
11,2.5571741746819536,35.098,34.23,2.545940915490412
12,2.503121248748906,36.142,35.37,2.5105000916559983
13,2.4583453433897793,37.186,36.14,2.464855498569027
14,2.411074710776434,37.544,36.89,2.4402876978467223
15,2.370179964453363,38.76,37.74,2.3972867772837354
16,2.332361243417501,39.494,38.64,2.3585424537112
17,2.291896193228719,40.472,39.75,2.3048201161585036
18,2.258363058042648,41.13,38.96,2.3366113961881894
19,2.2251335245264157,42.0,40.42,2.2750650985985046
20,2.198114225169277,42.658,40.6,2.260564839004711
21,2.165014979479563,43.314,41.45,2.237937673641618
22,2.1353094868952662,43.784,41.91,2.1965396928179795
23,2.1056985611196066,44.686,42.34,2.2016655115564916
24,2.0848737827042485,44.998,42.39,2.1900738447335115
25,2.0625667117745676,45.626,43.31,2.1637129943082285
26,2.0341399296775196,46.336,43.24,2.1522935697227528
27,2.0112881852537776,46.744,43.87,2.13092945183918
28,1.990852908252755,47.19,44.3,2.116492775595112
29,1.9665210564118212,47.716,44.4,2.107004043402945
30,1.9448350985031908,48.226,44.51,2.097011819766585
31,1.924478569908825,48.724,44.92,2.0849256781256122
32,1.9043903318817352,49.17,45.26,2.0734652326365186
33,1.8928574720002196,49.418,45.14,2.06332210142901
34,1.8654063339428524,50.134,46.46,2.0350777609333113
35,1.854423766703252,50.468,46.01,2.0410070563577545
36,1.835216561546716,50.734,46.61,2.022767218055239
37,1.8170965284947544,51.374,46.33,2.015082302366852
38,1.8056146944575298,51.568,46.93,2.0040653048047594
39,1.7826927383537488,52.3,46.65,2.0049187241086535
40,1.7665078097292224,52.356,47.31,1.9803720181155358
41,1.7494072645826413,52.794,47.46,1.9876389541443746
42,1.7367455434921149,53.178,47.07,1.9745387529871266
43,1.7202834009819323,53.502,47.89,1.9537407539452716
44,1.7072053851983737,54.216,47.35,1.9611514335984637
45,1.6908684674736179,54.498,48.4,1.9464624801259132
46,1.6779349004216206,54.518,48.16,1.9582950081794885
47,1.6714045554780594,54.942,47.73,1.972063641639272
48,1.6460345924053046,55.408,48.44,1.9236226484274408
49,1.638068781941748,55.658,48.45,1.9348853241865802
50,1.6261403353317925,55.886,48.95,1.9167693564846258
51,1.6120881869664887,56.298,48.91,1.9135063484216193
52,1.5986959004341184,56.586,49.49,1.9005149587704118
53,1.5873770910455747,56.646,49.66,1.8968940297509456
54,1.5752594760616723,57.204,49.61,1.888540515474453
55,1.5613422148367937,57.614,49.42,1.890699581735453
56,1.5520819738088056,57.596,49.83,1.8757592090375863
57,1.5417429533455989,57.974,49.71,1.8860250407723105
58,1.529891493680227,58.186,49.86,1.8768565077690562
59,1.5166432154757896,58.604,50.02,1.8726665009358885
60,1.5040519648348278,58.742,50.1,1.8705971096731295
61,1.4933266557391038,59.054,50.49,1.8613822247572005
62,1.4836710369800363,59.492,50.35,1.8525938327145424
63,1.4781303174050568,59.798,50.52,1.8599456260158758
64,1.4636368161577094,59.934,50.7,1.8518367998159615
65,1.4565847591518442,60.344,51.17,1.8435810531020924
66,1.4432579818588998,60.356,51.25,1.839050049235107
67,1.432033703074126,60.716,50.98,1.8414229997404061
68,1.4258182789663525,61.028,51.11,1.8480557393116557
69,1.415097755468105,61.102,51.08,1.8382290153746392
70,1.4045634202640076,61.25,51.59,1.8185003806071676
71,1.3975687176370255,61.428,51.73,1.8209117605428027
72,1.3850655436058483,61.968,51.88,1.8131441174039415
73,1.378344999173718,61.954,51.56,1.8339758230622407
74,1.370641762719435,62.22,51.96,1.8146462607535587
75,1.3627640250546242,62.508,52.14,1.809161011580449
76,1.3540836188494396,62.668,51.87,1.8209427860891743
77,1.344671967236892,62.806,52.06,1.8115735919612228
78,1.33238519556687,63.11,51.83,1.815240090060386
79,1.3246017090042534,63.314,52.03,1.8096872833883686
80,1.3159911273537999,63.75,52.09,1.8036478287095477
81,1.305545704520267,63.84,52.6,1.7978110040069386
82,1.3025066715372189,63.968,52.53,1.8003431771211564
83,1.2934560309285703,64.19,52.53,1.7845601390121848
84,1.2819620466140835,64.572,52.47,1.79755694926924
85,1.2790985909264412,64.66,52.57,1.789815756925352
86,1.2635310400477455,65.11,52.72,1.785691644735397
87,1.2567846250656012,65.346,52.18,1.7975451346415623
88,1.2488013896186028,65.362,52.61,1.7817390997698352
89,1.246282104412308,65.43,52.5,1.7806469300749954
90,1.230451542779308,65.822,53.25,1.7736788570501243
91,1.2252770409254772,66.14,52.98,1.7783893878292885
92,1.2179937037208197,66.124,52.96,1.7839383965085267
93,1.2098888846309594,66.538,53.18,1.7811856649483844
94,1.202687876456229,66.598,52.86,1.7807887253487946
95,1.1972058516024324,66.712,53.17,1.7788590557256323
96,1.1911830362456535,67.138,53.04,1.774665533357365
97,1.183962196416562,67.224,53.28,1.7710186038047644
98,1.1722167544352733,67.678,52.65,1.7845804782430077
99,1.1730170340641686,67.284,53.47,1.7654620348268253
100,1.1579232369085102,67.794,53.44,1.7711261586778482
