Epoch,Train_Loss,Train_Accuracy,Test_Accuracy,Test_Loss
1,3.512318949565253,16.686,22.01,3.2023826313626236
2,2.8443112318473096,28.676,32.6,2.6469716980199145
3,2.5215641671739273,35.468,32.86,2.661707615396779
4,2.3069943223158114,39.894,37.34,2.4110407123140467
5,2.150997306379821,43.582,40.56,2.2765647727213087
6,2.0241099583828235,46.716,44.09,2.0822017010609817
7,1.9244175059411226,48.764,46.26,2.0026906174459276
8,1.8408855966594824,50.678,48.34,1.9270370553253562
9,1.7684243481482387,52.51,49.11,1.8923824721840536
10,1.703607356914169,53.838,50.9,1.822733497923347
11,1.6466360919920684,55.494,50.78,1.8104323406887661
12,1.5888055107172798,56.814,51.53,1.7797036193738318
13,1.5443019879138684,57.92,52.78,1.7274931699607023
14,1.500458670775299,59.164,52.98,1.7204243810313522
15,1.4566517710838172,60.124,54.0,1.6968085317854669
16,1.4135100394868485,61.334,53.92,1.6750239619783536
17,1.3847164093228557,61.996,54.73,1.6679199318976918
18,1.3502935033929928,62.994,54.77,1.648200038891689
19,1.3125540939590814,63.782,55.27,1.6317003737589357
20,1.2871845197647125,64.642,56.23,1.598039764507561
21,1.2548370118183858,65.364,55.74,1.614425311802299
22,1.227126158945396,65.918,56.04,1.60965430698577
23,1.2033028138415587,66.806,56.61,1.5825551269920008
24,1.173471162233816,67.514,56.41,1.5836108733134664
25,1.148346475628026,68.116,56.88,1.5713964548839885
26,1.1213966641584625,68.846,57.48,1.5427371043308524
27,1.1029790644450566,69.384,57.08,1.5815421377018
28,1.0785146319042995,70.166,57.58,1.570088463983718
29,1.057258946740109,70.85,58.61,1.5162282028016012
30,1.035636937374349,71.32,58.62,1.5129216055201877
31,1.015837832713676,71.802,58.63,1.523375617470711
32,0.9942472522216075,72.512,58.61,1.5139234700020712
33,0.9798443206131001,72.77,58.73,1.5255340299788553
34,0.9581490011928636,73.4,59.45,1.4900013291911713
35,0.936837689955826,73.986,58.82,1.4998221029141905
36,0.9241024048432059,74.404,59.18,1.4947897571666984
37,0.903102512021199,75.126,58.91,1.4941359207888318
38,0.8900686533707182,75.482,59.06,1.4938260521858362
39,0.8691221650527872,75.97,59.49,1.4798121509278657
40,0.8539964466372414,76.436,59.25,1.4988954526603602
41,0.8424546855032596,76.556,59.92,1.4757427406159176
42,0.8266315452964105,77.152,59.07,1.520381310942826
43,0.808590092660521,77.598,59.74,1.4851565531864288
44,0.7978265717663728,78.024,60.12,1.480268904737606
45,0.7796139101619306,78.628,60.39,1.4659621563686687
46,0.7650850304709677,79.028,60.44,1.4674816628929916
47,0.7515988651748813,79.312,60.3,1.4735203575176798
48,0.7354862213973195,79.884,59.71,1.496067862222149
49,0.7242972095070592,80.238,60.48,1.4489251094259274
50,0.7124078047397496,80.572,60.16,1.4771813621186907
51,0.7007451146231283,80.954,60.7,1.4652226597640166
52,0.6921389881149888,81.204,60.41,1.4761108125850653
53,0.6784845485406763,81.62,60.57,1.4609355239351844
54,0.6668057335002343,82.028,60.8,1.4721153405061953
55,0.6477460011725535,82.48,61.22,1.4614608937008366
56,0.6371445850185726,82.852,60.85,1.460434186990094
57,0.6287947869895364,83.146,61.28,1.4445338788305877
58,0.6225954369282174,83.33,60.68,1.4656009727222905
59,0.6085560688810885,83.776,61.31,1.4476416805747208
60,0.5984321325407613,84.01,61.01,1.469553024525855
61,0.5889862755604107,84.276,61.0,1.4585656276933707
62,0.5791069277183479,84.488,60.87,1.4736032842830489
63,0.5696478116009241,85.004,60.77,1.4737754426184733
64,0.555309627214661,85.152,61.2,1.4624836346146408
65,0.5532448698035286,85.354,61.07,1.4596911015783904
66,0.5384339900196665,85.978,60.79,1.4843479273425546
67,0.5293482684951913,86.25,61.19,1.4616519125403873
68,0.5211486990189613,86.336,61.13,1.4753716451347254
69,0.5132115505769125,86.596,61.24,1.4753152599000627
70,0.5034210849219881,86.9,61.71,1.457385314497978
71,0.4946069656811712,87.298,61.46,1.4723429535604586
72,0.4879628036866712,87.376,61.93,1.4681405724993177
73,0.4766900448695473,87.838,61.77,1.4669496800489485
74,0.47154992510138266,87.85,61.32,1.4794053925070794
75,0.46313583143912923,88.276,61.34,1.4805843602320192
76,0.454130055825881,88.554,61.92,1.4671029854731954
77,0.44727817231127065,88.832,61.42,1.4853335265900678
78,0.44094548946070244,88.864,61.65,1.4637544341148085
79,0.4345728773480791,89.024,61.66,1.4806466922638521
80,0.4257956183208224,89.436,61.8,1.4709243941458927
81,0.418498165448151,89.66,61.86,1.4720583372055345
82,0.41080608201758634,89.898,61.92,1.475130057638618
83,0.40475511055468294,89.942,61.49,1.4883930834994954
84,0.3961063685548275,90.432,61.9,1.4732576350497593
85,0.3890539601521419,90.612,61.55,1.4891912341117859
86,0.38996917676285403,90.508,61.66,1.500307679555978
87,0.37959894928557186,90.852,61.91,1.4853244492202808
88,0.3731379780318121,90.966,61.86,1.4871123440706047
89,0.3626457395417916,91.52,61.69,1.487372166411892
90,0.3599381246187193,91.47,61.74,1.4944864743074793
91,0.35523913640652777,91.442,61.95,1.5011701006798228
92,0.34617458283901215,91.832,61.97,1.4901485203937361
93,0.3413799391759326,92.02,61.68,1.5098843593506297
94,0.338045497532086,92.152,61.39,1.514150380328962
95,0.32938790016467007,92.384,61.46,1.5244599341586897
96,0.3289650239031333,92.304,61.47,1.4982898827571018
97,0.3228569481607593,92.566,61.62,1.5123079195144071
98,0.31709983996341906,92.674,61.98,1.4921088571761065
99,0.31222968188393146,92.888,61.87,1.5122602141586838
100,0.3043274059129493,93.264,62.1,1.504980218258633
